fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,success,country,pricing
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,0.094,76.0,Italy,Medium
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,0.09699999999999999,63.0,Italy,Budget
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,0.09300000000000001,37.0,Spain,Expensive
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,0.095,36.0,Italy,Medium
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,0.095,57.0,Italy,Expensive
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,0.094,45.0,Spain,Budget
7.8,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,0.9964,3.38,0.59,0.098,57.0,Spain,Expensive
6.7,0.675,0.07,2.4,0.08900000000000001,17.0,82.0,0.9958,3.35,0.54,0.10099999999999999,56.0,Italy,Budget
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,0.106,74.0,Spain,Medium
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,0.098,61.0,Italy,Expensive
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,0.094,55.0,Spain,Budget
5.2,0.32,0.25,1.8,0.10300000000000001,13.0,50.0,0.9957,3.38,0.55,0.092,55.0,Italy,Expensive
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,0.096,29.0,Spain,Medium
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,0.10800000000000001,76.0,Italy,Budget
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,0.09699999999999999,59.0,Spain,Budget
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.9940000000000001,3.5,0.48,0.098,33.0,Spain,Medium
7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,0.105,46.0,Italy,Expensive
7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,0.105,48.0,Italy,Budget
8.8,0.61,0.3,2.8,0.08800000000000001,17.0,46.0,0.9976,3.26,0.51,0.09300000000000001,43.0,Spain,Budget
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,0.105,54.0,Italy,Budget
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,0.10300000000000001,61.0,Italy,Budget
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,0.095,40.0,Italy,Budget
4.6,0.52,0.15,2.1,0.054000000000000006,8.0,65.0,0.9934,3.9,0.56,0.131,88.0,Spain,Budget
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,0.092,43.0,Spain,Medium
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,0.095,38.0,Italy,Budget
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,0.092,56.0,Italy,Budget
5.6,0.31,0.37,1.4,0.07400000000000001,12.0,96.0,0.9954,3.32,0.58,0.092,65.0,Italy,Budget
8.8,0.66,0.26,1.7,0.07400000000000001,4.0,23.0,0.9971,3.15,0.74,0.092,50.0,Spain,Medium
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,0.094,68.0,Spain,Budget
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,0.094,57.0,Italy,Budget
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,0.094,53.0,Italy,Expensive
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,0.102,58.0,Italy,Medium
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,0.095,48.0,Spain,Budget
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,0.096,45.0,Italy,Budget
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,0.094,41.0,Spain,Medium
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,0.1,50.0,Italy,Expensive
7.3,0.39,0.31,2.4,0.07400000000000001,9.0,46.0,0.9962,3.41,0.54,0.094,66.0,Italy,Budget
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,0.092,63.0,Italy,Budget
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,0.09300000000000001,63.0,Italy,Medium
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,0.095,80.0,Spain,Expensive
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,0.098,32.0,Spain,Budget
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,0.109,42.0,Spain,Medium
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,0.109,53.0,Italy,Budget
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,0.096,45.0,Italy,Budget
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,0.107,66.0,Italy,Medium
9.3,0.32,0.57,2.0,0.07400000000000001,27.0,65.0,0.9969,3.28,0.79,0.107,43.0,Italy,Budget
,0.705,0.05,1.9,0.07400000000000001,8.0,19.0,0.9962,3.34,0.95,0.105,49.0,Spain,Expensive
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,0.095,46.0,Italy,Expensive
7.7,0.67,0.23,2.1,0.08800000000000001,17.0,96.0,0.9962,3.32,0.48,0.095,52.0,Spain,Medium
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,0.095,63.0,Italy,Medium
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,0.092,49.0,Spain,Budget
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,0.096,33.0,Italy,Expensive
8.8,0.41,0.64,2.2,0.09300000000000001,9.0,42.0,0.9986,3.54,0.66,0.105,76.0,Italy,Budget
8.8,0.41,0.64,2.2,0.09300000000000001,9.0,42.0,0.9986,3.54,0.66,0.105,51.0,Spain,Medium
6.8,0.785,0.0,2.4,0.10400000000000001,14.0,30.0,0.9966,3.52,0.55,0.107,63.0,Spain,Budget
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,0.10099999999999999,52.0,Italy,Budget
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,0.091,44.0,Spain,Medium
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,0.092,58.0,Italy,Budget
7.8,0.43,0.7,,0.46399999999999997,22.0,67.0,0.9974,3.13,1.28,0.094,62.0,Italy,Medium
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,0.091,57.0,Italy,Medium
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,0.094,41.0,Spain,Budget
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,0.10300000000000001,71.0,Italy,Medium
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,0.10099999999999999,34.0,Italy,Budget
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,0.099,65.0,Italy,Budget
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,0.096,47.0,Italy,Budget
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,0.095,52.0,Spain,Budget
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,0.09,49.0,Italy,Medium
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,0.095,44.0,Italy,Budget
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,0.099,68.0,Italy,Expensive
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,0.098,53.0,Spain,Expensive
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,0.096,45.0,Spain,Medium
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,0.105,31.0,Italy,Expensive
4.7,0.6,0.17,2.3,0.057999999999999996,17.0,106.0,0.9932,3.85,0.6,0.129,45.0,Spain,Expensive
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,0.107,40.0,Spain,Budget
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,0.092,49.0,Spain,Expensive
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,0.098,40.0,Italy,Medium
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,0.09,63.0,Italy,Budget
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,0.102,74.0,Italy,Budget
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,0.10400000000000001,45.0,Spain,Budget
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,0.09,48.0,Spain,Medium
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,0.092,35.0,Spain,Expensive
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,0.094,43.0,Spain,Expensive
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,0.092,65.0,Spain,Budget
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,0.09300000000000001,41.0,Spain,Medium
6.2,0.63,0.31,1.7,0.08800000000000001,15.0,64.0,0.9969,3.46,0.79,0.09300000000000001,66.0,Italy,Expensive
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,0.096,54.0,Italy,Expensive
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,0.09300000000000001,68.0,Italy,Budget
7.8,0.56,0.19,1.8,0.10400000000000001,12.0,47.0,0.9964,3.19,0.93,0.095,43.0,Italy,Expensive
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,0.098,46.0,Spain,Expensive
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,0.098,50.0,Spain,Expensive
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,0.09699999999999999,62.0,Italy,Medium
7.8,0.56,0.19,1.8,0.10400000000000001,12.0,47.0,0.9964,3.19,0.93,0.095,61.0,Italy,Budget
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,0.105,50.0,Italy,Medium
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,0.1,43.0,Spain,Medium
7.8,0.56,0.12,2.0,0.08199999999999999,7.0,28.0,0.997,3.37,0.5,0.094,61.0,Italy,Budget
8.8,0.55,0.04,2.2,0.11900000000000001,14.0,56.0,0.9962,3.21,0.6,0.109,71.0,Italy,Medium
7.0,0.69,0.08,1.8,0.09699999999999999,22.0,89.0,0.9959,3.34,0.54,0.092,60.0,Spain,Budget
7.3,1.07,0.09,1.7,0.17800000000000002,10.0,89.0,0.9962,3.3,0.57,0.09,55.0,Italy,Medium
8.8,0.55,0.04,2.2,0.11900000000000001,14.0,56.0,0.9962,3.21,0.6,0.109,57.0,Italy,Medium
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,0.092,46.0,Spain,Medium
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,0.095,50.0,Italy,Medium
7.8,0.5,0.17,1.6,0.08199999999999999,21.0,102.0,0.996,3.39,0.48,0.095,64.0,Italy,Budget
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,0.094,61.0,Italy,Medium
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,0.109,51.0,Italy,Expensive
8.1,1.33,0.0,1.8,0.08199999999999999,3.0,12.0,0.9964,3.54,0.48,0.109,52.0,Italy,Medium
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,0.105,45.0,Italy,Medium
6.1,0.38,0.15,1.8,0.07200000000000001,6.0,19.0,0.9955,3.42,0.57,0.094,56.0,Spain,Budget
8.0,0.745,0.56,2.0,0.11800000000000001,30.0,134.0,0.9968,3.24,0.66,0.094,56.0,Spain,Medium
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,0.13,34.0,Italy,Budget
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,0.13,88.0,Italy,Budget
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,0.098,59.0,Spain,Medium
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,0.099,43.0,Italy,Medium
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,0.096,47.0,Italy,Medium
8.3,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,0.9968,3.23,0.77,0.095,63.0,Italy,Expensive
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,0.092,77.0,Italy,Budget
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,0.095,45.0,Italy,Budget
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,0.095,50.0,Italy,Expensive
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,0.096,68.0,Italy,Expensive
8.3,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,0.9968,3.23,0.77,0.095,59.0,Spain,Medium
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,0.14,84.0,Spain,Medium
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,0.094,42.0,Spain,Medium
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,0.14,84.0,Spain,Budget
8.1,0.67,0.55,1.8,0.11699999999999999,32.0,141.0,0.9968,3.17,0.62,0.094,66.0,Italy,Medium
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,0.1,39.0,Italy,Expensive
7.6,0.49,0.26,1.6,0.23600000000000002,10.0,88.0,0.9968,3.11,0.8,0.09300000000000001,54.0,Spain,Medium
6.9,0.49,0.1,2.3,0.07400000000000001,12.0,30.0,0.9959,3.42,0.58,0.102,67.0,Italy,Budget
8.2,0.4,0.44,2.8,0.08900000000000001,11.0,43.0,0.9975,3.53,0.61,0.105,63.0,Italy,Medium
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,0.10300000000000001,46.0,Italy,Expensive
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,0.094,37.0,Spain,Medium
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,0.10099999999999999,51.0,Spain,Budget
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,0.10099999999999999,60.0,Italy,Expensive
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,0.105,55.0,Spagna,Medium
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,0.105,44.0,Spain,Medium
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,0.105,55.0,Spain,Expensive
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,0.105,53.0,Spain,Medium
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,0.09300000000000001,49.0,Italy,Budget
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,0.09300000000000001,61.0,Italy,Medium
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,0.096,53.0,Spain,Expensive
7.6,0.68,0.02,1.3,0.07200000000000001,9.0,20.0,0.9965,3.17,1.08,0.092,39.0,Italy,Budget
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,0.1,74.0,Italy,Budget
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,0.094,48.0,Spain,Medium
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,0.094,49.0,Spain,Expensive
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,0.095,67.0,Italy,Budget
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,0.102,42.0,Spain,Expensive
7.3,0.55,0.03,1.6,0.07200000000000001,17.0,42.0,0.9956,3.37,0.48,0.09,36.0,Spain,Budget
6.8,0.63,0.07,2.1,0.08900000000000001,11.0,44.0,0.9953,3.47,0.55,0.10400000000000001,63.0,Italy,Budget
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,0.095,46.0,Spain,Budget
7.9,0.885,0.03,1.8,0.057999999999999996,4.0,8.0,0.9972,3.36,0.33,0.091,44.0,Italy,Expensive
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,0.092,69.0,Spain,Medium
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,0.092,64.0,Italy,Budget
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,0.115,53.0,Spain,Medium
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,0.095,51.0,Italy,Medium
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,0.095,47.0,Italy,Medium
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,0.095,58.0,Italy,Budget
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,0.105,62.0,Italy,Medium
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,0.096,65.0,Italy,Budget
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,0.095,59.0,Italy,Medium
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,0.095,40.0,Spain,Budget
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,0.09300000000000001,43.0,Italy,Medium
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,0.09300000000000001,40.0,Spain,Budget
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,0.09300000000000001,53.0,Spain,Medium
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,0.09300000000000001,54.0,Italy,Budget
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,0.09699999999999999,58.0,Spain,Budget
7.4,0.39,0.48,2.0,0.08199999999999999,14.0,67.0,0.9972,3.34,0.55,0.092,66.0,Spain,Medium
7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,0.09699999999999999,47.0,Italy,Expensive
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,0.095,59.0,Italy,Budget
7.9,0.49,0.32,1.9,0.08199999999999999,17.0,144.0,0.9968,3.2,0.55,0.095,75.0,Spain,Medium
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,0.094,57.0,Italy,Budget
6.4,0.37,0.25,-1.3893739327355643,0.07400000000000001,21.0,49.0,0.9974,3.57,0.62,0.098,44.0,Spain,Budget
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,0.095,46.0,Spain,Medium
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,0.09699999999999999,55.0,Italy,Budget
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,0.09699999999999999,60.0,Spain,Medium
7.8,0.59,0.33,2.0,0.07400000000000001,24.0,120.0,0.9968,3.25,0.54,0.094,52.0,Spain,Medium
7.3,0.58,0.3,2.4,0.07400000000000001,15.0,55.0,0.9968,3.46,0.59,0.102,48.0,Italy,Medium
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,0.10099999999999999,52.0,Italy,Budget
5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,0.13,85.0,Italy,Budget
6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,0.114,62.0,Italy,Budget
9.6,0.32,0.47,1.4,0.055999999999999994,9.0,24.0,0.99695,3.22,0.82,0.10300000000000001,76.0,Italy,Expensive
8.8,0.37,0.48,2.1,0.09699999999999999,39.0,145.0,0.9975,3.04,1.03,0.09300000000000001,45.0,Italy,Budget
6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.99545,3.36,0.79,0.095,55.0,Spain,Medium
7.0,0.42,0.35,1.6,0.08800000000000001,16.0,39.0,0.9961,3.34,0.55,0.092,46.0,Spain,Medium
7.0,0.43,0.36,1.6,0.08900000000000001,14.0,37.0,0.99615,3.34,0.56,0.092,53.0,Spain,Expensive
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,0.10800000000000001,52.0,Spain,Expensive
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,0.10800000000000001,72.0,Italy,Budget
7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,0.09300000000000001,49.0,Spagna,Budget
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,0.094,60.0,Spain,Budget
11.0,0.3,0.58,2.1,0.054000000000000006,7.0,19.0,0.998,3.31,0.88,0.105,64.0,Italy,Expensive
9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,0.124,84.0,Italy,Medium
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,0.1,48.0,Spain,Expensive
11.6,0.44,0.64,2.1,0.059000000000000004,5.0,15.0,0.998,3.21,0.67,0.102,50.0,Spain,Expensive
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,0.10099999999999999,52.0,Italy,Medium
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,0.098,62.0,Italy,Expensive
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,0.105,67.0,Italy,Expensive
8.7,0.625,0.16,2.0,0.10099999999999999,13.0,49.0,0.9962,3.14,0.57,0.11,55.0,Italy,Medium
8.1,0.725,0.22,2.2,0.07200000000000001,11.0,41.0,0.9967,3.36,0.55,0.091,41.0,Spain,Medium
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,0.09699999999999999,45.0,Italy,Medium
7.8,0.53,0.33,2.4,0.08,24.0,144.0,0.99655,3.3,0.6,0.095,73.0,Italy,Expensive
7.8,0.34,0.37,2.0,0.08199999999999999,24.0,58.0,0.9964,3.34,0.59,0.094,57.0,Italy,Medium
7.4,0.53,0.26,2.0,0.10099999999999999,16.0,72.0,0.9957,3.15,0.57,0.094,32.0,Italy,Expensive
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,0.095,47.0,Spain,Medium
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,0.1,70.0,Italy,Expensive
8.4,0.635,0.36,2.0,0.08900000000000001,15.0,55.0,0.99745,3.31,0.57,0.10400000000000001,55.0,Spain,Budget
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,0.105,64.0,Italy,Expensive
8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,0.095,68.0,Italy,Budget
9.0,0.82,0.14,2.6,0.08900000000000001,9.0,23.0,0.9984,3.39,0.63,0.098,44.0,Spain,Budget
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,0.105,37.0,Italy,Budget
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,0.11,45.0,Spain,Budget
5.2,0.48,0.04,1.6,0.054000000000000006,19.0,106.0,0.9927,3.54,0.62,0.122,87.0,Spain,Budget
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,0.099,47.0,Spain,Medium
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,0.096,37.0,Italy,Budget
